,User,Vehicle,MPG
86,2nottboy,2015 Volkswagen Passat,58 minutes ago
87,kentoca,2008 Honda Accord,23.5 MPG
88,declan,2008 Toyota Yaris,38.4 MPG
89,richbart,2006 Ford Focus,22.2 MPG
90,brucenick7861,2015 Toyota Camry,32.0 MPG
91,blinkme192,2008 Mazda CX-9,19.4 MPG
92,bluefire000,2012 Mazda 3,32.5 MPG
93,blinkme192,2014 Mazda 6,39.1 MPG
94,mattb5150,2018 GMC Sierra 1500,14.6 MPG
95,Kylesfd,2004 Chevrolet Silverado 1500,13.5 MPG
96,Dougerstew,2018 Nissan Rogue,26.0 MPG
97,lmg531,2012 Toyota Tacoma,16.4 MPG
98,vineeth,2016 Honda Pilot,21.8 MPG
99,UnTaiMaiShu,2018 Kia Niro,49.8 MPG
100,climbingcue,2016 Toyota 4Runner,17.2 MPG
101,Uctmec,2011 Toyota Hilux,23.8 MPG
102,Devdisaster,2014 Hyundai i20,45.4 MPG
103,jimmyp,2012 Yamaha Super Tenere 1200 Z,40.0 MPG
104,mracko,2010 Toyota Tundra,16.3 MPG
105,Mattg529,2007 Dodge Ram 1500,14.6 MPG
106,Lis,1993 Yamaha XTZ 750,36.3 MPG
107,JERSEY_DUAL_SPORT,2003 Chevrolet Trailblazer,13.9 MPG
108,udtrev,2013 Peugeot 3008,43.1 MPG
109,MorrisseyJ,2013 Honda Accord,26.3 MPG
110,navyr113,2018 Ford F-150,21.7 MPG
111,deepaks,2017 Lexus RX450h,29.8 MPG
112,calhoun23,2014 Toyota Corolla,23.0 MPG
113,Partyguy816,2016 Toyota Tundra,11.8 MPG
114,LindaNJ01,2018 Toyota RAV4,32.8 MPG
115,groundzero,2012 BMW X3,19.4 MPG
116,urdrwho,2016 Volvo V60,18.6 MPG
117,deepaks,2016 Can-Am Spyder F3-T (SM6),34.6 MPG
118,oloung1,2014 Audi S4,16.4 MPG
119,eduard62,2018 Honda NC750X,51.7 MPG
120,russellkletter3,2008 Toyota Avalon,23.2 MPG
121,GAVtheRAV,2013 Seat Leon,84.5 MPG
122,Carpenter720,2007 Porsche Cayman,23.3 MPG
123,mach1neshop,2018 Toyota Corolla iM,27.0 MPG
124,Bockum,2017 Ford Fiesta,34.1 MPG
125,jebjkey,2016 Subaru WRX STI,18.1 MPG
126,Nodge,2006 Vauxhall Zafira,27.3 MPG
127,meknc,2014 BMW X5,29.7 MPG
128,bgbak,2008 BMW 320i,28.8 MPG
129,Cantekin,2017 BMW G310R,62.9 MPG
130,meknc,2005 Volkswagen Passat,33 minutes ago
131,ADBS65,2018 Jaguar XF,26.4 MPG
132,jabrake88,2014 Chevrolet Silverado 1500,34 minutes ago
133,erstumler,2010 Honda Element,20.1 MPG
134,wookee,2004 Chevrolet Express 3500,15.4 MPG
135,thekatieberry,2017 Hyundai Tucson,23.8 MPG
136,trowachin,2015 Ford Ranger,24.4 MPG
137,Brendan,2018 Toyota Sienna,21.0 MPG
138,rjgould,2017 Skoda Fabia,31.2 MPG
139,Junn,2017 Honda Jazz,35.0 MPG
140,kptaylor,2012 Mazda MX-5 Miata,27.3 MPG
141,spikedscott,2012 Mini Roadster,41.1 MPG
142,chrisrass1,2017 Hyundai Santa Fe,24.8 MPG
143,M40blue,2018 BMW X3,28.1 MPG
144,Dugg,1998 GMC C1500,13.3 MPG
145,jegheddermark,1998 Honda Civic,26.4 MPG
146,-NooM-,2018 Ford Focus,18.7 MPG
147,pcwooi,2014 Proton Iriz,27.9 MPG
148,Larionidp,2010 Subaru Legacy,1 hour ago
149,larswey,2007 Volvo XC70,27.9 MPG
