,User,Vehicle,MPG
86,2nottboy,2015 Volkswagen Passat,58 minutes ago
87,kentoca,2008 Honda Accord,23.5 MPG
88,declan,2008 Toyota Yaris,38.4 MPG
89,richbart,2006 Ford Focus,22.2 MPG
90,brucenick7861,2015 Toyota Camry,32.0 MPG
91,blinkme192,2008 Mazda CX-9,19.4 MPG
92,bluefire000,2012 Mazda 3,32.5 MPG
93,blinkme192,2014 Mazda 6,39.1 MPG
94,mattb5150,2018 GMC Sierra 1500,14.6 MPG
95,Kylesfd,2004 Chevrolet Silverado 1500,13.5 MPG
96,Dougerstew,2018 Nissan Rogue,26.0 MPG
97,lmg531,2012 Toyota Tacoma,16.4 MPG
98,vineeth,2016 Honda Pilot,21.8 MPG
99,UnTaiMaiShu,2018 Kia Niro,49.8 MPG
100,climbingcue,2016 Toyota 4Runner,17.2 MPG
101,Uctmec,2011 Toyota Hilux,23.8 MPG
102,Devdisaster,2014 Hyundai i20,45.4 MPG
103,jimmyp,2012 Yamaha Super Tenere 1200 Z,40.0 MPG
104,mracko,2010 Toyota Tundra,16.3 MPG
105,Mattg529,2007 Dodge Ram 1500,14.6 MPG
106,Lis,1993 Yamaha XTZ 750,36.3 MPG
107,JERSEY_DUAL_SPORT,2003 Chevrolet Trailblazer,13.9 MPG
108,udtrev,2013 Peugeot 3008,43.1 MPG
109,MorrisseyJ,2013 Honda Accord,26.3 MPG
110,navyr113,2018 Ford F-150,21.7 MPG
111,deepaks,2017 Lexus RX450h,29.8 MPG
112,calhoun23,2014 Toyota Corolla,23.0 MPG
113,Partyguy816,2016 Toyota Tundra,11.8 MPG
114,LindaNJ01,2018 Toyota RAV4,32.8 MPG
115,groundzero,2012 BMW X3,19.4 MPG
116,urdrwho,2016 Volvo V60,18.6 MPG
117,deepaks,2016 Can-Am Spyder F3-T (SM6),34.6 MPG
118,oloung1,2014 Audi S4,16.4 MPG
119,eduard62,2018 Honda NC750X,51.7 MPG
120,russellkletter3,2008 Toyota Avalon,23.2 MPG
121,GAVtheRAV,2013 Seat Leon,84.5 MPG
122,Carpenter720,2007 Porsche Cayman,23.3 MPG
123,mach1neshop,2018 Toyota Corolla iM,27.0 MPG
124,Bockum,2017 Ford Fiesta,34.1 MPG
125,jebjkey,2016 Subaru WRX STI,18.1 MPG
126,Nodge,2006 Vauxhall Zafira,27.3 MPG
127,meknc,2014 BMW X5,29.7 MPG
128,bgbak,2008 BMW 320i,28.8 MPG
129,Cantekin,2017 BMW G310R,62.9 MPG
130,meknc,2005 Volkswagen Passat,33 minutes ago
131,ADBS65,2018 Jaguar XF,26.4 MPG
132,jabrake88,2014 Chevrolet Silverado 1500,34 minutes ago
133,erstumler,2010 Honda Element,20.1 MPG
134,wookee,2004 Chevrolet Express 3500,15.4 MPG
135,thekatieberry,2017 Hyundai Tucson,23.8 MPG
136,trowachin,2015 Ford Ranger,24.4 MPG
137,Brendan,2018 Toyota Sienna,21.0 MPG
138,rjgould,2017 Skoda Fabia,31.2 MPG
139,Junn,2017 Honda Jazz,35.0 MPG
140,kptaylor,2012 Mazda MX-5 Miata,27.3 MPG
141,spikedscott,2012 Mini Roadster,41.1 MPG
142,chrisrass1,2017 Hyundai Santa Fe,24.8 MPG
143,M40blue,2018 BMW X3,28.1 MPG
144,Dugg,1998 GMC C1500,13.3 MPG
145,jegheddermark,1998 Honda Civic,26.4 MPG
146,-NooM-,2018 Ford Focus,18.7 MPG
147,pcwooi,2014 Proton Iriz,27.9 MPG
148,Larionidp,2010 Subaru Legacy,1 hour ago
149,larswey,2007 Volvo XC70,27.9 MPG
150,KMD1,2019 Toyota Corolla,37.6 MPG
151,Wibb,2011 Skoda Fabia vRS,30.0 MPG
152,mstuckart,2002 Dodge Ram 1500,38.7 MPG
153,suhayden,2020 Honda Odyssee,25.9 MPG
154,jeffandvivian,2011 Toyota Prius,42.5 MPG
155,Killerunderpants,2018 Yamaha X-MAX 300,85.8 MPG
156,Kidder,2019 Ram 1500,15.4 MPG
157,Turby3Pots,2018 Honda Accord,29.2 MPG
158,toolie,2011 Ram 2500,7 minutes ago
159,Buddykitchen,2003 Honda ST1300,40.8 MPG
160,toolie,2006 Volkswagen Jetta,42.0 MPG
161,RoiRaw,2017 Piaggio New Fly,87.4 MPG
162,NC245,2015 Honda NC700X DCT ABS,60.7 MPG
163,DIIS,2015 Subaru Outback,26.3 MPG
164,NinjaNateFL,2013 Kawasaki EX300 Ninja 300,62.2 MPG
165,Hestel,2003 Ford Explorer Sport Trac,15.1 MPG
166,chakarov,2015 Mercedes-Benz ML350,24.5 MPG
167,TurboTomato,2012 Ford Fiesta,36.1 MPG
168,hermi97,2016 Perodua Alza,15 minutes ago
169,GaardenZwerch,2017 Hyundai Ioniq,49.3 MPG
170,Ed753,2017 Nissan Rogue,22.5 MPG
171,TouranDaddy,2008 Volkswagen Touran,37.8 MPG
172,GreenCRV,1997 Honda CR-V,24.0 MPG
173,jkf243,1985 Chevrolet Corvette,15.4 MPG
174,aasenna,2014 SYM Citycom 300i,82.9 MPG
175,Ed753,2018 GMC Sierra 1500,17.1 MPG
176,mattmacc,2018 Kia Forte,29.7 MPG
177,rkbrasse,2014 Ford F-150,21 minutes ago
178,Brett2424,2014 Toyota Tundra,13.4 MPG
179,Ecodiesel2014,2017 Mercedes-Benz Sprinter 3500,17.3 MPG
180,samytoutou,2012 Ford Escape,17.6 MPG
181,StealthTDI,2017 Volkswagen GTI,31.0 MPG
182,Othalis,2010 Suzuki SX4,31.3 MPG
183,ulysses06,2018 Jeep Wrangler JLU,23.1 MPG
184,davebodger,2014 Mitsubishi Outlander,94.2 MPG
185,jackiek,2015 Honda CR-V,24.6 MPG
186,ckouko,2019 Honda Forza 300,74.1 MPG
187,Doedrums,2016 Mazda MX-5 Miata,32.7 MPG
188,CTGull,2012 Honda Civic,35.8 MPG
189,bluedevil_jeep,2019 Jeep Wrangler,26.3 MPG
190,M4rk,2014 Lexus IS F,19.1 MPG
191,dafridge,2011 Lexus CT200h,51.4 MPG
192,Robminator,1986 Volkswagen Transporter,24.1 MPG
193,Hybrid_Harry,2015 Toyota Auris Touring Sports,30 minutes ago
194,bobklaes,2015 Honda Accord,20.8 MPG
195,aweenieman,2016 Subaru Legacy,27.8 MPG
196,vincent18713,2013 Ford Focus,19.9 MPG
197,flashkl,1999 Dodge Ram 2500,14.9 MPG
198,Siami,2019 Toyota Prius,51.7 MPG
199,shortbloke,2013 Audi S5,18.1 MPG
200,Kuske,2019 Honda Civic,34.7 MPG
201,Katahdin,2018 Volkswagen Tiguan,24.0 MPG
202,quillaja,2004 Dodge Sprinter 2500,21.4 MPG
203,Cmbneeley,2005 Toyota Sienna,15.7 MPG
204,omBRE,2013 Ford Fusion,24.9 MPG
205,cet12,2015 Jeep Grand Cherokee,19.3 MPG
206,EchoTheGecko,2010 Volkswagen GTI,24.9 MPG
207,wcooley,2016 Kia Optima,32.2 MPG
208,rabid,2019 Jeep Wranger Unlimited,16.5 MPG
209,jabutzen,2007 Ford Focus,27.7 MPG
210,KenBuzz,2016 Kia Sorento,20.1 MPG
211,skyetg,2018 Subaru Crosstrek,23.0 MPG
212,BicycleBoy,2015 Honda NC700X,79.3 MPG
213,ne0031,2005 Subaru Legacy,21.6 MPG
214,DABE4R,2011 Nissan Xterra,16.9 MPG
215,iDriveAVan,2004 Chevrolet Express 1500,14.9 MPG
216,mannys9130,2012 Toyota Corolla,33.6 MPG
217,DanC73,2013 Toyota Prius V,50.4 MPG
218,bensley,2017 Hyundai Ioniq,55.3 MPG
219,fobis,2016 Volkswagen GTI,25.5 MPG
220,Christophe,2014 Ford Fusion,28.8 MPG
221,rcassd17,2007 Hummer H3,14.9 MPG
222,Junkers,2000 Toyota RAV4,20.5 MPG
223,towerdriver,2013 Chevrolet Traverse,18.9 MPG
224,ADWilson,2017 Honda Fit,14 minutes ago
225,Aronsini,2014 Chevrolet Aveo,18.3 MPG
226,chaz345,2003 Subaru Outback,17.2 MPG
227,kaufman,2019 Subaru Forester,26.0 MPG
228,CTD06,2017 Ram 1500,17.6 MPG
229,Freyguy,2010 Volkswagen Jetta,36.4 MPG
230,jmeister,2018 Mazda 3,33.3 MPG
231,flintysooner,2011 Lexus RX350,16.9 MPG
232,cottageboy,2016 GMC Acadia,16.3 MPG
233,Atilus,2017 Volkswagen Passat,29.4 MPG
234,1720diesel,2016 Chevrolet Silverado 2500 HD,14.8 MPG
235,ppointer,2009 BMW 328i,20.0 MPG
236,adivuaratkurai,2019 Lexus IS300,22.2 MPG
237,Darkith,2009 Toyota Matrix,15.6 MPG
238,DwightAH,2019 Nissan Murano,16.7 MPG
239,Safwi,2015 Honda CB400SF,47.8 MPG
240,kyzzyle,2006 Honda CR-V,39.9 MPG
241,rockchalktexan,2006 Toyota Tundra,9.4 MPG
242,vnutz,2016 Jeep Wrangler,18.6 MPG
243,ct46,1999 Saturn SC1,37.0 MPG
244,mdebreyne,2006 Toyota Sienna,16.8 MPG
245,AgMag,2015 Ford F-150,16.1 MPG
246,skibum1,2005 Volkswagen Jetta,42.8 MPG
247,TipsyMoose,2015 Jeep Grand Cherokee,17.3 MPG
248,chaplain143,2012 Ford Flex,26 minutes ago
249,FabPanda,2010 Fiat Panda,48.5 MPG
